Electoral District (2013 Representation Order),Province/Territory,Population (2021 Census),% Filipinos,Number of Filipinos (2021 Census),Number of Filipinos (2016 Census),% of Population with Knowledge of French,Healthcare Workers (NOC Classification),Number of Recent Immigrants (2016-2021),Recent Immigrants from PH (2016-2021),Number of People with Bachelors Degree or Higher,Median Age,Bikol Mother Tongue,"Bisaya, n.o.s. Mother Tongue",Cebuano Mother Tongue,Hiligaynon Mother Tongue,Ilocano Mother Tongue,Kankanaey Mother Tongue,Kinaray-a Mother Tongue,Pampangan Mother Tongue,Pangasinan Mother Tongue,Tagalog Mother Tongue,Waray-Waray Mother Tongue,Second Most Spoken Philippine Language,"Healthcare Workers (per 100,000)",% of Recent Immigrants from PH (2016-2021),"Number of People with Bachelors Degree or Higher (per 100,000)",Filipino Growth Rate % (2016-2021),% Second Most Spoken Philippine Language,"Recent Migrants from the Philippines per 100,000"
Acadie--Bathurst,New Brunswick,77594,0.2,185,80,38.1,3790,295,100,7980,53.6,5,0,10,0,0,0,0,0,0,65,0,Cebuano,4884.40,33.90,10284.30,131.25,12.37,128.88
Beauséjour,New Brunswick,88797,1.2,1060,0,5.4,3980,1495,505,13845,48,0,10,40,5,25,0,0,5,0,550,0,Cebuano,4482.13,33.78,15591.74,#DIV/0!,6.29,568.71
Fredericton,New Brunswick,87436,0.8,650,55,0.5,3675,3525,335,23595,39.6,5,10,45,5,5,0,0,0,0,300,0,Cebuano,4203.07,9.50,26985.45,1081.82,12.14,383.14
Fundy Royal,New Brunswick,83721,0.2,145,190,0.2,3590,700,50,12190,45.6,0,0,10,0,0,0,0,0,0,65,0,Cebuano,4288.05,7.14,14560.27,-23.68,13.18,59.72
Madawaska--Restigouche,New Brunswick,60184,0.1,70,25,32,3265,410,15,6470,52.8,0,0,0,0,0,0,0,0,0,45,0,NONE,5425.03,3.66,10750.37,180.00,0,24.92
Miramichi--Grand Lake,New Brunswick,57520,0.5,270,70,4.9,2290,340,145,5180,51.2,0,0,5,5,0,5,0,0,0,150,0,Mixed (more than two),3981.22,42.65,9005.56,285.71,9.09,252.09
Moncton--Riverview--Dieppe,New Brunswick,101237,1.3,1325,485,2.8,4865,5495,625,20835,41.6,0,25,65,5,15,0,0,0,0,665,10,Cebuano,4805.56,11.37,20580.42,173.20,8.27,617.36
New Brunswick Southwest,New Brunswick,67781,0.6,380,315,0.2,2690,420,100,9385,47.6,0,15,10,0,10,0,0,0,0,255,0,Cebuano & Ilocano,3968.66,23.81,13846.06,20.63,6.9,147.53
Saint John--Rothesay,New Brunswick,81996,0.9,730,215,0.2,3890,2700,315,14675,44.4,0,5,35,10,10,0,0,0,0,360,0,Cebuano,4744.13,11.67,17897.21,239.53,8.32,384.17
Tobique--Mactaquac,New Brunswick,69344,0.5,365,160,2,2700,650,140,8715,47.2,0,5,0,0,0,0,0,5,0,130,0,"Bisaya, n.o.s. & Pampangan",3893.63,21.54,12567.78,128.13,7.14,201.89
Abitibi--Baie-James--Nunavik--Eeyou,Quebec,89087,0.2,205,35,43.1,2795,360,0,6835,35.6,0,0,0,0,0,0,0,0,0,110,5,Waray-Waray,3137.38,0.00,7672.28,485.71,4.35,0.00
Abitibi--Témiscamingue,Quebec,103735,0.1,120,30,68.5,4070,390,20,10630,44.4,0,0,0,0,0,0,0,0,0,20,0,NONE,3923.46,5.13,10247.26,300.00,0,19.28
Ahuntsic-Cartierville,Quebec,118170,0.4,470,345,30.2,5320,8750,75,34825,40.8,0,0,15,5,10,0,0,5,0,175,0,Cebuano,4501.99,0.86,29470.25,36.23,7.11,63.47
Alfred-Pellan,Quebec,102020,0.2,165,165,37.9,4835,1945,10,19400,43.6,0,0,5,0,5,0,0,0,0,70,0,Cebuano & Ilocano,4739.27,0.51,19015.88,0.00,12.5,9.80
Argenteuil--La Petite-Nation,Quebec,102311,0.1,75,30,43.5,3440,265,15,10645,49.2,0,5,5,0,5,0,0,0,0,30,0,Cebuano & Ilocano,3362.30,5.66,10404.55,150.00,22.22,14.66
Avignon--La Mitis--Matane--Matapédia,Quebec,70253,0.1,40,0,78.5,2770,85,0,6205,52.4,0,0,5,0,0,0,0,0,0,0,0,Cebuano,3942.89,0.00,8832.36,#DIV/0!,100,0.00
Beauce,Quebec,111034,0.1,105,10,74.9,4145,435,0,10060,43.6,0,0,0,0,5,0,0,0,0,70,0,Ilocano,3733.09,0.00,9060.29,950.00,6.67,0.00
Beauport--Limoilou,Quebec,96064,0.1,90,10,61.2,5075,2585,15,17855,43.6,0,0,0,0,0,0,0,0,0,25,0,NONE,5282.94,0.58,18586.57,800.00,0,15.61
Bécancour--Nicolet--Saurel,Quebec,96439,0.1,55,40,73.2,4205,180,10,9380,50,0,0,5,0,0,0,0,0,0,35,0,Cebuano,4360.27,5.56,9726.36,37.50,12.23,10.37
Bellechasse--Les Etchemins--Lévis,Quebec,120179,0.1,150,50,69.2,5520,1015,0,17890,46.8,0,0,5,0,0,0,0,0,0,50,0,Cebuano,4593.15,0.00,14886.13,200.00,8.94,0.00
Beloeil--Chambly,Quebec,125359,0.1,90,35,48.3,5525,895,10,23330,41.6,5,0,0,0,0,0,0,0,0,15,0,Bikol,4407.34,1.12,18610.55,157.14,25,7.98
Berthier--Maskinongé,Quebec,105280,0.1,65,25,73.1,3930,250,0,9670,48.8,0,0,0,0,0,0,0,0,0,80,0,NONE,3732.90,0.00,9185.03,160.00,0,0.00
Thérèse-De Blainville,Quebec,106013,0.1,130,90,40.6,4795,1330,25,20025,43.2,0,0,5,0,5,0,0,0,0,40,0,Cebuano & Ilocano,4523.03,1.88,18889.19,44.44,20,23.58
Pierre-Boucher--Les Patriotes--Verchères,Quebec,103020,0.1,80,50,49.8,4135,985,0,21895,43.6,0,0,5,0,0,0,0,0,0,20,0,Cebuano,4013.78,0.00,21253.15,60.00,19.38,0.00
Bourassa,Quebec,105637,0.2,180,105,50.9,5360,5515,50,13845,40.8,0,0,5,0,0,0,0,0,0,55,0,Cebuano,5073.98,0.91,13106.20,71.43,8.21,47.33
Brome--Missisquoi,Quebec,113913,0.1,90,70,42.8,4250,415,0,20120,52,0,0,5,0,5,0,0,0,0,45,0,Cebuano & Ilocano,3730.92,0.00,17662.60,28.57,18.18,0.00
Brossard--Saint-Lambert,Quebec,114286,0.8,855,785,20.2,4020,5725,55,36245,43.6,5,5,20,5,15,0,0,5,5,365,0,Cebuano,3517.49,0.96,31714.30,8.92,4.7,48.12
Rimouski-Neigette--Témiscouata--Les Basques,Quebec,85556,0.0,0,10,76.5,4205,410,0,12780,50,0,0,5,0,0,0,0,0,0,0,0,Cebuano,4914.91,0.00,14937.58,-100.00,100,0.00
Charlesbourg--Haute-Saint-Charles,Quebec,109690,0.1,55,35,63.9,5620,1800,0,18175,43.2,0,0,5,0,0,0,0,0,0,20,0,Cebuano,5123.53,0.00,16569.42,57.14,19.38,0.00
Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,Quebec,95736,0.0,30,35,70.8,4380,515,0,13650,48,0,0,0,0,0,0,0,0,0,10,0,NONE,4575.08,0.00,14257.96,-14.29,0,0.00
Châteauguay--Lacolle,Quebec,105111,0.4,370,200,42.1,4665,1425,20,12015,41.2,0,0,10,10,15,0,0,0,0,155,0,Ilocano,4438.17,1.40,11430.77,85.00,7.89,19.03
Chicoutimi--Le Fjord,Quebec,80593,0.1,40,45,74.6,3855,280,0,12525,47.2,0,0,0,0,0,0,0,0,0,10,0,NONE,4783.29,0.00,15541.05,-11.11,0,0.00
Compton--Stanstead,Quebec,111088,0.1,65,35,52.8,5330,660,10,16765,43.2,0,5,5,0,0,0,0,0,0,25,0,"Bisaya, n.o.s. & Cebuano",4798.00,1.52,15091.64,85.71,28.57,9.00
Dorval--Lachine--LaSalle,Quebec,119395,1.6,1885,1645,17.5,4740,6170,180,26235,41.6,0,20,20,20,105,0,0,15,10,855,5,Ilocano,3970.02,2.92,21973.28,14.59,10,150.76
